reduction, algorithm, length, rbits, round, size, number of strongly connected componentes, scc nr., scc size
end, Groestl256, 14, 0, 320, 147, 6, 5, 35
end, Groestl256, 14, 0, 320, 147, 6, 6, 75
end, Groestl256, 14, 1, 10, 11061, 1, 1, 11061
end, Groestl256, 14, 2, 6, 15238, 1, 1, 15238
end, Groestl256, 14, 3, 3, 16309, 1, 1, 16309
end, Groestl256, 14, 4, 2, 16384, 1, 1, 16384
end, JH256, 10, 0, 67, 29, 2, 1, 1
end, JH256, 10, 0, 67, 29, 2, 2, 28
end, JH256, 10, 1, 7, 709, 1, 1, 709
end, JH256, 10, 2, 3, 958, 1, 1, 958
end, JH256, 10, 3, 2, 1021, 1, 1, 1021
end, JH256, 10, 4, 2, 1024, 1, 1, 1024
end, JH256, 12, 0, 179, 12, 1, 1, 12
end, JH256, 12, 1, 10, 2806, 1, 1, 2806
end, JH256, 12, 2, 4, 3810, 1, 1, 3810
end, JH256, 12, 3, 2, 4068, 1, 1, 4068
end, JH256, 12, 4, 2, 4095, 1, 1, 4095
end, JH256, 14, 0, 330, 183, 4, 1, 2
end, JH256, 14, 0, 330, 183, 4, 2, 23
end, JH256, 14, 0, 330, 183, 4, 3, 53
end, JH256, 14, 0, 330, 183, 4, 4, 105
end, JH256, 14, 1, 10, 11140, 2, 1, 1
end, JH256, 14, 1, 10, 11140, 2, 2, 11139
end, JH256, 14, 2, 5, 15138, 1, 1, 15138
end, JH256, 14, 3, 2, 16311, 1, 1, 16311
end, JH256, 14, 4, 2, 16384, 1, 1, 16384
end, KECCAK256, 10, 0, 63, 9, 3, 1, 1
end, KECCAK256, 10, 0, 63, 9, 3, 2, 2
end, KECCAK256, 10, 0, 63, 9, 3, 3, 6
end, KECCAK256, 10, 1, 6, 687, 2, 1, 1
end, KECCAK256, 10, 1, 6, 687, 2, 2, 686
end, KECCAK256, 10, 2, 4, 950, 1, 1, 950
end, KECCAK256, 10, 3, 2, 1019, 1, 1, 1019
end, KECCAK256, 10, 4, 2, 1024, 1, 1, 1024
end, KECCAK256, 12, 0, 90, 125, 7, 1, 1
end, KECCAK256, 12, 0, 90, 125, 7, 2, 2
end, KECCAK256, 12, 0, 90, 125, 7, 3, 9
end, KECCAK256, 12, 0, 90, 125, 7, 4, 9
end, KECCAK256, 12, 0, 90, 125, 7, 5, 19
end, KECCAK256, 12, 0, 90, 125, 7, 6, 27
end, KECCAK256, 12, 0, 90, 125, 7, 7, 58
end, KECCAK256, 12, 1, 8, 2783, 1, 1, 2783
end, KECCAK256, 12, 2, 4, 3814, 1, 1, 3814
end, KECCAK256, 12, 3, 3, 4081, 1, 1, 4081
end, KECCAK256, 12, 4, 2, 4096, 1, 1, 4096
end, KECCAK256, 14, 0, 141, 150, 5, 1, 1
end, KECCAK256, 14, 0, 141, 150, 5, 2, 2
end, KECCAK256, 14, 0, 141, 150, 5, 3, 10
end, KECCAK256, 14, 0, 141, 150, 5, 4, 23
end, KECCAK256, 14, 0, 141, 150, 5, 5, 114
end, KECCAK256, 14, 1, 9, 11060, 3, 1, 1
end, KECCAK256, 14, 1, 9, 11060, 3, 2, 1
end, KECCAK256, 14, 1, 9, 11060, 3, 3, 11058
end, KECCAK256, 14, 2, 4, 15215, 1, 1, 15215
end, KECCAK256, 14, 3, 2, 16308, 1, 1, 16308
end, KECCAK256, 14, 4, 2, 16384, 1, 1, 16384
end, RIPEMD160, 10, 0, 88, 3, 2, 1, 1
end, RIPEMD160, 10, 0, 88, 3, 2, 2, 2
end, RIPEMD160, 10, 1, 9, 676, 1, 1, 676
end, RIPEMD160, 10, 2, 3, 950, 1, 1, 950
end, RIPEMD160, 10, 3, 2, 1017, 1, 1, 1017
end, RIPEMD160, 10, 4, 2, 1024, 1, 1, 1024
end, RIPEMD160, 12, 0, 120, 82, 7, 1, 1
end, RIPEMD160, 12, 0, 120, 82, 7, 2, 1
end, RIPEMD160, 12, 0, 120, 82, 7, 3, 10
end, RIPEMD160, 12, 0, 120, 82, 7, 4, 10
end, RIPEMD160, 12, 0, 120, 82, 7, 5, 17
end, RIPEMD160, 12, 0, 120, 82, 7, 6, 20
end, RIPEMD160, 12, 0, 120, 82, 7, 7, 23
end, RIPEMD160, 12, 1, 7, 2768, 1, 1, 2768
end, RIPEMD160, 12, 2, 4, 3826, 1, 1, 3826
end, RIPEMD160, 12, 3, 2, 4076, 1, 1, 4076
end, RIPEMD160, 12, 4, 2, 4096, 1, 1, 4096
end, RIPEMD160, 14, 0, 225, 49, 7, 1, 1
end, RIPEMD160, 14, 0, 225, 49, 7, 2, 1
end, RIPEMD160, 14, 0, 225, 49, 7, 3, 2
end, RIPEMD160, 14, 0, 225, 49, 7, 4, 2
end, RIPEMD160, 14, 0, 225, 49, 7, 5, 4
end, RIPEMD160, 14, 0, 225, 49, 7, 6, 4
end, RIPEMD160, 14, 0, 225, 49, 7, 7, 35
end, RIPEMD160, 14, 1, 11, 11030, 3, 1, 1
end, RIPEMD160, 14, 1, 11, 11030, 3, 2, 2
end, RIPEMD160, 14, 1, 11, 11030, 3, 3, 11027
end, RIPEMD160, 14, 2, 6, 15196, 1, 1, 15196
end, RIPEMD160, 14, 3, 2, 16299, 1, 1, 16299
end, RIPEMD160, 14, 4, 2, 16384, 1, 1, 16384
end, Skein256, 10, 0, 67, 53, 4, 1, 1
end, Skein256, 10, 0, 67, 53, 4, 2, 8
end, Skein256, 10, 0, 67, 53, 4, 3, 17
end, Skein256, 10, 0, 67, 53, 4, 4, 27
end, Skein256, 10, 1, 8, 715, 2, 1, 1
end, Skein256, 10, 1, 8, 715, 2, 2, 714
end, Skein256, 10, 2, 3, 975, 1, 1, 975
end, Skein256, 10, 3, 2, 1021, 1, 1, 1021
end, Skein256, 10, 4, 2, 1024, 1, 1, 1024
end, Skein256, 12, 0, 94, 80, 4, 1, 1
end, Skein256, 12, 0, 94, 80, 4, 2, 1
end, Skein256, 12, 0, 94, 80, 4, 3, 26
end, Skein256, 12, 0, 94, 80, 4, 4, 52
end, Skein256, 12, 1, 9, 2766, 1, 1, 2766
end, Skein256, 12, 2, 4, 3823, 2, 1, 1
end, Skein256, 12, 2, 4, 3823, 2, 2, 3822
end, Skein256, 12, 3, 3, 4078, 1, 1, 4078
end, Skein256, 12, 4, 2, 4096, 1, 1, 4096
end, Skein256, 14, 0, 282, 117, 10, 1, 1
end, Skein256, 14, 0, 282, 117, 10, 2, 1
end, Skein256, 14, 0, 282, 117, 10, 3, 2
end, Skein256, 14, 0, 282, 117, 10, 4, 2
end, Skein256, 14, 0, 282, 117, 10, 5, 4
end, Skein256, 14, 0, 282, 117, 10, 6, 5
end, Skein256, 14, 0, 282, 117, 10, 7, 10
end, Skein256, 14, 0, 282, 117, 10, 8, 16
end, Skein256, 14, 0, 282, 117, 10, 9, 30
end, Skein256, 14, 0, 282, 117, 10, 10, 46
end, Skein256, 14, 1, 10, 11215, 2, 1, 1
end, Skein256, 14, 1, 10, 11215, 2, 2, 11214
end, Skein256, 14, 2, 5, 15222, 1, 1, 15222
end, Skein256, 14, 3, 2, 16307, 1, 1, 16307
end, Skein256, 14, 4, 2, 16384, 1, 1, 16384
end, MD5, 10, 0, 74, 33, 7, 1, 1
end, MD5, 10, 0, 74, 33, 7, 2, 1
end, MD5, 10, 0, 74, 33, 7, 3, 1
end, MD5, 10, 0, 74, 33, 7, 4, 3
end, MD5, 10, 0, 74, 33, 7, 5, 5
end, MD5, 10, 0, 74, 33, 7, 6, 11
end, MD5, 10, 0, 74, 33, 7, 7, 11
end, MD5, 10, 1, 12, 684, 2, 1, 1
end, MD5, 10, 1, 12, 684, 2, 2, 683
end, MD5, 10, 2, 5, 944, 4, 1, 1
end, MD5, 10, 2, 5, 944, 4, 2, 1
end, MD5, 10, 2, 5, 944, 4, 3, 1
end, MD5, 10, 2, 5, 944, 4, 4, 941
end, MD5, 10, 3, 2, 1022, 1, 1, 1022
end, MD5, 10, 4, 2, 1024, 1, 1, 1024
end, MD5, 12, 0, 82, 48, 8, 1, 1
end, MD5, 12, 0, 82, 48, 8, 2, 1
end, MD5, 12, 0, 82, 48, 8, 3, 2
end, MD5, 12, 0, 82, 48, 8, 4, 2
end, MD5, 12, 0, 82, 48, 8, 5, 3
end, MD5, 12, 0, 82, 48, 8, 6, 5
end, MD5, 12, 0, 82, 48, 8, 7, 8
end, MD5, 12, 0, 82, 48, 8, 8, 26
end, MD5, 12, 1, 10, 2789, 2, 1, 1
end, MD5, 12, 1, 10, 2789, 2, 2, 2788
end, MD5, 12, 2, 4, 3821, 1, 1, 3821
end, MD5, 12, 3, 2, 4079, 1, 1, 4079
end, MD5, 12, 4, 2, 4096, 1, 1, 4096
end, MD5, 14, 0, 259, 185, 8, 1, 1
end, MD5, 14, 0, 259, 185, 8, 2, 2
end, MD5, 14, 0, 259, 185, 8, 3, 7
end, MD5, 14, 0, 259, 185, 8, 4, 7
end, MD5, 14, 0, 259, 185, 8, 5, 8
end, MD5, 14, 0, 259, 185, 8, 6, 9
end, MD5, 14, 0, 259, 185, 8, 7, 59
end, MD5, 14, 0, 259, 185, 8, 8, 92
end, MD5, 14, 1, 10, 11117, 2, 1, 1
end, MD5, 14, 1, 10, 11117, 2, 2, 11116
end, MD5, 14, 2, 5, 15201, 1, 1, 15201
end, MD5, 14, 3, 2, 16308, 1, 1, 16308
end, MD5, 14, 4, 2, 16384, 1, 1, 16384
end, SHA-1, 10, 0, 45, 38, 3, 1, 6
end, SHA-1, 10, 0, 45, 38, 3, 2, 9
end, SHA-1, 10, 0, 45, 38, 3, 3, 23
end, SHA-1, 10, 1, 7, 688, 2, 1, 2
end, SHA-1, 10, 1, 7, 688, 2, 2, 686
end, SHA-1, 10, 2, 3, 947, 1, 1, 947
end, SHA-1, 10, 3, 2, 1022, 1, 1, 1022
end, SHA-1, 10, 4, 2, 1024, 1, 1, 1024
end, SHA-1, 12, 0, 116, 49, 7, 1, 2
end, SHA-1, 12, 0, 116, 49, 7, 2, 3
end, SHA-1, 12, 0, 116, 49, 7, 3, 3
end, SHA-1, 12, 0, 116, 49, 7, 4, 4
end, SHA-1, 12, 0, 116, 49, 7, 5, 5
end, SHA-1, 12, 0, 116, 49, 7, 6, 12
end, SHA-1, 12, 0, 116, 49, 7, 7, 20
end, SHA-1, 12, 1, 9, 2810, 1, 1, 2810
end, SHA-1, 12, 2, 6, 3823, 1, 1, 3823
end, SHA-1, 12, 3, 2, 4079, 1, 1, 4079
end, SHA-1, 12, 4, 2, 4096, 1, 1, 4096
end, SHA-1, 14, 0, 254, 212, 10, 1, 1
end, SHA-1, 14, 0, 254, 212, 10, 2, 2
end, SHA-1, 14, 0, 254, 212, 10, 3, 4
end, SHA-1, 14, 0, 254, 212, 10, 4, 5
end, SHA-1, 14, 0, 254, 212, 10, 5, 5
end, SHA-1, 14, 0, 254, 212, 10, 6, 10
end, SHA-1, 14, 0, 254, 212, 10, 7, 10
end, SHA-1, 14, 0, 254, 212, 10, 8, 46
end, SHA-1, 14, 0, 254, 212, 10, 9, 61
end, SHA-1, 14, 0, 254, 212, 10, 10, 68
end, SHA-1, 14, 1, 12, 10978, 1, 1, 10978
end, SHA-1, 14, 2, 5, 15263, 1, 1, 15263
end, SHA-1, 14, 3, 3, 16306, 1, 1, 16306
end, SHA-1, 14, 4, 2, 16383, 1, 1, 16383
end, SHA256, 10, 0, 60, 18, 3, 1, 1
end, SHA256, 10, 0, 60, 18, 3, 2, 1
end, SHA256, 10, 0, 60, 18, 3, 3, 16
end, SHA256, 10, 1, 10, 688, 1, 1, 688
end, SHA256, 10, 2, 3, 946, 1, 1, 946
end, SHA256, 10, 3, 3, 1021, 1, 1, 1021
end, SHA256, 10, 4, 2, 1024, 1, 1, 1024
end, SHA256, 12, 0, 73, 98, 4, 1, 1
end, SHA256, 12, 0, 73, 98, 4, 2, 5
end, SHA256, 12, 0, 73, 98, 4, 3, 9
end, SHA256, 12, 0, 73, 98, 4, 4, 83
end, SHA256, 12, 1, 9, 2739, 1, 1, 2739
end, SHA256, 12, 2, 4, 3775, 1, 1, 3775
end, SHA256, 12, 3, 2, 4078, 1, 1, 4078
end, SHA256, 12, 4, 2, 4096, 1, 1, 4096
end, SHA256, 14, 0, 257, 46, 4, 1, 1
end, SHA256, 14, 0, 257, 46, 4, 2, 1
end, SHA256, 14, 0, 257, 46, 4, 3, 8
end, SHA256, 14, 0, 257, 46, 4, 4, 36
end, SHA256, 14, 1, 8, 11112, 1, 1, 11112
end, SHA256, 14, 2, 6, 15209, 1, 1, 15209
end, SHA256, 14, 3, 2, 16306, 1, 1, 16306
end, SHA256, 14, 4, 2, 16384, 1, 1, 16384
mid, BLAKE256, 10, 0, 56, 27, 4, 1, 1
mid, BLAKE256, 10, 0, 56, 27, 4, 2, 1
mid, BLAKE256, 10, 0, 56, 27, 4, 3, 2
mid, BLAKE256, 10, 0, 56, 27, 4, 4, 23
mid, BLAKE256, 10, 1, 7, 699, 1, 1, 699
mid, BLAKE256, 10, 2, 3, 948, 1, 1, 948
mid, BLAKE256, 10, 3, 2, 1016, 1, 1, 1016
mid, BLAKE256, 10, 4, 2, 1024, 1, 1, 1024
mid, BLAKE256, 12, 0, 115, 65, 2, 1, 5
mid, BLAKE256, 12, 0, 115, 65, 2, 2, 60
mid, BLAKE256, 12, 1, 8, 2790, 2, 1, 1
mid, BLAKE256, 12, 1, 8, 2790, 2, 2, 2789
mid, BLAKE256, 12, 2, 4, 3767, 1, 1, 3767
mid, BLAKE256, 12, 3, 3, 4073, 1, 1, 4073
mid, BLAKE256, 12, 4, 2, 4096, 1, 1, 4096
mid, BLAKE256, 14, 0, 213, 260, 5, 1, 2
mid, BLAKE256, 14, 0, 213, 260, 5, 2, 10
mid, BLAKE256, 14, 0, 213, 260, 5, 3, 66
mid, BLAKE256, 14, 0, 213, 260, 5, 4, 79
mid, BLAKE256, 14, 0, 213, 260, 5, 5, 103
mid, BLAKE256, 14, 1, 12, 11046, 1, 1, 11046
mid, BLAKE256, 14, 2, 5, 15117, 1, 1, 15117
mid, BLAKE256, 14, 3, 3, 16306, 1, 1, 16306
mid, BLAKE256, 14, 4, 2, 16384, 1, 1, 16384
mid, Groestl256, 10, 0, 55, 42, 4, 1, 2
mid, Groestl256, 10, 0, 55, 42, 4, 2, 2
mid, Groestl256, 10, 0, 55, 42, 4, 3, 15
mid, Groestl256, 10, 0, 55, 42, 4, 4, 23
mid, Groestl256, 10, 1, 8, 653, 1, 1, 653
mid, Groestl256, 10, 2, 3, 941, 1, 1, 941
mid, Groestl256, 10, 3, 2, 1018, 1, 1, 1018
mid, Groestl256, 10, 4, 2, 1024, 1, 1, 1024
mid, Groestl256, 12, 0, 64, 212, 4, 1, 1
mid, Groestl256, 12, 0, 64, 212, 4, 2, 20
mid, Groestl256, 12, 0, 64, 212, 4, 3, 30
mid, Groestl256, 12, 0, 64, 212, 4, 4, 161
mid, Groestl256, 12, 1, 9, 2693, 1, 1, 2693
mid, Groestl256, 12, 2, 4, 3785, 1, 1, 3785
mid, Groestl256, 12, 3, 2, 4082, 1, 1, 4082
mid, Groestl256, 12, 4, 2, 4096, 1, 1, 4096
mid, Groestl256, 14, 0, 232, 52, 4, 1, 1
mid, Groestl256, 14, 0, 232, 52, 4, 2, 2
mid, Groestl256, 14, 0, 232, 52, 4, 3, 2
mid, Groestl256, 14, 0, 232, 52, 4, 4, 47
mid, Groestl256, 14, 1, 13, 11033, 1, 1, 11033
mid, Groestl256, 14, 2, 6, 15180, 1, 1, 15180
mid, Groestl256, 14, 3, 3, 16312, 1, 1, 16312
mid, Groestl256, 14, 4, 2, 16384, 1, 1, 16384
mid, JH256, 10, 0, 33, 66, 4, 1, 1
mid, JH256, 10, 0, 33, 66, 4, 2, 10
mid, JH256, 10, 0, 33, 66, 4, 3, 25
mid, JH256, 10, 0, 33, 66, 4, 4, 30
mid, JH256, 10, 1, 6, 693, 3, 1, 1
mid, JH256, 10, 1, 6, 693, 3, 2, 3
mid, JH256, 10, 1, 6, 693, 3, 3, 689
mid, JH256, 10, 2, 4, 941, 2, 1, 1
mid, JH256, 10, 2, 4, 941, 2, 2, 940
mid, JH256, 10, 3, 2, 1020, 1, 1, 1020
mid, JH256, 10, 4, 2, 1024, 1, 1, 1024
mid, JH256, 12, 0, 104, 134, 7, 1, 1
mid, JH256, 12, 0, 104, 134, 7, 2, 2
mid, JH256, 12, 0, 104, 134, 7, 3, 8
mid, JH256, 12, 0, 104, 134, 7, 4, 13
mid, JH256, 12, 0, 104, 134, 7, 5, 26
mid, JH256, 12, 0, 104, 134, 7, 6, 32
mid, JH256, 12, 0, 104, 134, 7, 7, 52
mid, JH256, 12, 1, 10, 2785, 1, 1, 2785
mid, JH256, 12, 2, 4, 3823, 1, 1, 3823
mid, JH256, 12, 3, 2, 4078, 1, 1, 4078
mid, JH256, 12, 4, 2, 4096, 1, 1, 4096
mid, JH256, 14, 0, 215, 221, 3, 1, 17
mid, JH256, 14, 0, 215, 221, 3, 2, 54
mid, JH256, 14, 0, 215, 221, 3, 3, 150
mid, JH256, 14, 1, 9, 11109, 3, 1, 1
mid, JH256, 14, 1, 9, 11109, 3, 2, 2
mid, JH256, 14, 1, 9, 11109, 3, 3, 11106
mid, JH256, 14, 2, 5, 15202, 1, 1, 15202
mid, JH256, 14, 3, 2, 16297, 1, 1, 16297
mid, JH256, 14, 4, 2, 16384, 1, 1, 16384
mid, KECCAK256, 10, 0, 53, 34, 6, 1, 1
mid, KECCAK256, 10, 0, 53, 34, 6, 2, 1
mid, KECCAK256, 10, 0, 53, 34, 6, 3, 2
mid, KECCAK256, 10, 0, 53, 34, 6, 4, 4
mid, KECCAK256, 10, 0, 53, 34, 6, 5, 8
mid, KECCAK256, 10, 0, 53, 34, 6, 6, 18
mid, KECCAK256, 10, 1, 8, 685, 3, 1, 1
mid, KECCAK256, 10, 1, 8, 685, 3, 2, 2
mid, KECCAK256, 10, 1, 8, 685, 3, 3, 682
mid, KECCAK256, 10, 2, 5, 931, 1, 1, 931
mid, KECCAK256, 10, 3, 3, 1017, 1, 1, 1017
mid, KECCAK256, 10, 4, 2, 1024, 1, 1, 1024
mid, KECCAK256, 12, 0, 89, 68, 4, 1, 1
mid, KECCAK256, 12, 0, 89, 68, 4, 2, 1
mid, KECCAK256, 12, 0, 89, 68, 4, 3, 3
mid, KECCAK256, 12, 0, 89, 68, 4, 4, 63
mid, KECCAK256, 12, 1, 8, 2741, 3, 1, 1
mid, KECCAK256, 12, 1, 8, 2741, 3, 2, 1
mid, KECCAK256, 12, 1, 8, 2741, 3, 3, 2739
mid, KECCAK256, 12, 2, 3, 3770, 1, 1, 3770
mid, KECCAK256, 12, 3, 3, 4075, 1, 1, 4075
mid, KECCAK256, 12, 4, 2, 4096, 1, 1, 4096
mid, KECCAK256, 14, 0, 163, 217, 12, 1, 1
mid, KECCAK256, 14, 0, 163, 217, 12, 2, 1
mid, KECCAK256, 14, 0, 163, 217, 12, 3, 1
mid, KECCAK256, 14, 0, 163, 217, 12, 4, 1
mid, KECCAK256, 14, 0, 163, 217, 12, 5, 2
mid, KECCAK256, 14, 0, 163, 217, 12, 6, 3
mid, KECCAK256, 14, 0, 163, 217, 12, 7, 8
mid, KECCAK256, 14, 0, 163, 217, 12, 8, 9
mid, KECCAK256, 14, 0, 163, 217, 12, 9, 13
mid, KECCAK256, 14, 0, 163, 217, 12, 10, 35
mid, KECCAK256, 14, 0, 163, 217, 12, 11, 63
mid, KECCAK256, 14, 0, 163, 217, 12, 12, 80
mid, KECCAK256, 14, 1, 9, 11071, 2, 1, 1
mid, KECCAK256, 14, 1, 9, 11071, 2, 2, 11070
mid, KECCAK256, 14, 2, 5, 15213, 1, 1, 15213
mid, KECCAK256, 14, 3, 2, 16302, 1, 1, 16302
mid, KECCAK256, 14, 4, 2, 16384, 1, 1, 16384
mid, RIPEMD160, 10, 0, 33, 67, 3, 1, 3
mid, RIPEMD160, 10, 0, 33, 67, 3, 2, 12
mid, RIPEMD160, 10, 0, 33, 67, 3, 3, 52
mid, RIPEMD160, 10, 1, 9, 694, 1, 1, 694
mid, RIPEMD160, 10, 2, 4, 960, 1, 1, 960
mid, RIPEMD160, 10, 3, 2, 1020, 1, 1, 1020
mid, RIPEMD160, 10, 4, 2, 1024, 1, 1, 1024
mid, RIPEMD160, 12, 0, 167, 86, 6, 1, 1
mid, RIPEMD160, 12, 0, 167, 86, 6, 2, 1
mid, RIPEMD160, 12, 0, 167, 86, 6, 3, 7
mid, RIPEMD160, 12, 0, 167, 86, 6, 4, 8
mid, RIPEMD160, 12, 0, 167, 86, 6, 5, 23
mid, RIPEMD160, 12, 0, 167, 86, 6, 6, 46
mid, RIPEMD160, 12, 1, 12, 2740, 1, 1, 2740
mid, RIPEMD160, 12, 2, 4, 3794, 2, 1, 1
mid, RIPEMD160, 12, 2, 4, 3794, 2, 2, 3793
mid, RIPEMD160, 12, 3, 2, 4083, 1, 1, 4083
mid, RIPEMD160, 12, 4, 2, 4096, 1, 1, 4096
mid, RIPEMD160, 14, 0, 151, 254, 4, 1, 1
mid, RIPEMD160, 14, 0, 151, 254, 4, 2, 13
mid, RIPEMD160, 14, 0, 151, 254, 4, 3, 21
mid, RIPEMD160, 14, 0, 151, 254, 4, 4, 219
mid, RIPEMD160, 14, 1, 10, 11157, 4, 1, 1
mid, RIPEMD160, 14, 1, 10, 11157, 4, 2, 1
mid, RIPEMD160, 14, 1, 10, 11157, 4, 3, 1
mid, RIPEMD160, 14, 1, 10, 11157, 4, 4, 11154
mid, RIPEMD160, 14, 2, 5, 15254, 1, 1, 15254
mid, RIPEMD160, 14, 3, 3, 16308, 1, 1, 16308
mid, RIPEMD160, 14, 4, 2, 16384, 1, 1, 16384
mid, Skein256, 10, 0, 55, 32, 1, 1, 32
mid, Skein256, 10, 1, 11, 660, 1, 1, 660
mid, Skein256, 10, 2, 4, 952, 1, 1, 952
mid, Skein256, 10, 3, 2, 1022, 1, 1, 1022
mid, Skein256, 10, 4, 2, 1024, 1, 1, 1024
mid, Skein256, 12, 0, 64, 104, 9, 1, 1
mid, Skein256, 12, 0, 64, 104, 9, 2, 1
mid, Skein256, 12, 0, 64, 104, 9, 3, 1
mid, Skein256, 12, 0, 64, 104, 9, 4, 1
mid, Skein256, 12, 0, 64, 104, 9, 5, 2
mid, Skein256, 12, 0, 64, 104, 9, 6, 2
mid, Skein256, 12, 0, 64, 104, 9, 7, 2
mid, Skein256, 12, 0, 64, 104, 9, 8, 8
mid, Skein256, 12, 0, 64, 104, 9, 9, 86
mid, Skein256, 12, 1, 8, 2782, 3, 1, 1
mid, Skein256, 12, 1, 8, 2782, 3, 2, 1
mid, Skein256, 12, 1, 8, 2782, 3, 3, 2780
mid, Skein256, 12, 2, 4, 3776, 2, 1, 1
mid, Skein256, 12, 2, 4, 3776, 2, 2, 3775
mid, Skein256, 12, 3, 3, 4072, 1, 1, 4072
mid, Skein256, 12, 4, 2, 4096, 1, 1, 4096
mid, Skein256, 14, 0, 310, 56, 3, 1, 1
mid, Skein256, 14, 0, 310, 56, 3, 2, 2
mid, Skein256, 14, 0, 310, 56, 3, 3, 53
mid, Skein256, 14, 1, 11, 10997, 2, 1, 1
mid, Skein256, 14, 1, 11, 10997, 2, 2, 10996
mid, Skein256, 14, 2, 5, 15184, 2, 1, 1
mid, Skein256, 14, 2, 5, 15184, 2, 2, 15183
mid, Skein256, 14, 3, 3, 16318, 1, 1, 16318
mid, Skein256, 14, 4, 2, 16383, 1, 1, 16383
mid, MD5, 10, 0, 43, 89, 4, 1, 1
mid, MD5, 10, 0, 43, 89, 4, 2, 3
mid, MD5, 10, 0, 43, 89, 4, 3, 10
mid, MD5, 10, 0, 43, 89, 4, 4, 75
mid, MD5, 10, 1, 10, 709, 1, 1, 709
mid, MD5, 10, 2, 4, 959, 1, 1, 959
mid, MD5, 10, 3, 3, 1017, 1, 1, 1017
mid, MD5, 10, 4, 2, 1023, 1, 1, 1023
mid, MD5, 12, 0, 101, 49, 3, 1, 3
mid, MD5, 12, 0, 101, 49, 3, 2, 19
mid, MD5, 12, 0, 101, 49, 3, 3, 27
mid, MD5, 12, 1, 7, 2805, 3, 1, 2
mid, MD5, 12, 1, 7, 2805, 3, 2, 3
mid, MD5, 12, 1, 7, 2805, 3, 3, 2800
mid, MD5, 12, 2, 4, 3837, 1, 1, 3837
mid, MD5, 12, 3, 2, 4080, 1, 1, 4080
